Ticker,Company Name,Sector,Industry
XEL,Xcel Energy Inc,Utilities,Utilities - Regulated
XHR,"Xenia Hotels & Resorts, Inc.",Real Estate,REITs
XHUA,XINHUA CHINA LTD,,
XLGROUP,XL GROUP LTD,,
XLNX,XILINX INC,Technology,Semiconductors
XLRN,ACCELERON PHARMA INC,Healthcare,Medical Diagnostics & Research
XMTR,"Xometry, Inc.",Industrials,Engineering & Construction
XNCR,Xencor Inc,Healthcare,Biotechnology
XOG_delist,"Extraction Oil & Gas, Inc.",Energy,Oil & Gas - E&P
XOM,EXXON MOBIL CORP,Energy,Oil & Gas - Integrated
XONE,ExOne Co,Industrials,Industrial Products
XOXO,XO GROUP INC.,Technology,Online Media
XPEL,"XPEL, Inc.",Consumer Cyclical,Autos
XPER,Xperi Holding Corp,Technology,Semiconductors
XPO,"XPO Logistics, Inc.",Industrials,Transportation & Logistics
XRAY,Dentsply Sirona,Healthcare,Medical Instruments & Equipment
XRX,Xerox Corp.,Technology,Application Software
XSPY,Spy Inc.,Consumer Cyclical,Travel & Leisure
XYL,Xylem Inc.,Industrials,Industrial Products
Y,Alleghany Corp,Financial Services,Insurance - Property & Casualty
YELL,Yellow Corp,Industrials,Transportation & Logistics
YELP,YELP,Technology,Online Media
YETI,"YETI Holdings, Inc.",Consumer Cyclical,Retail - Apparel & Specialty
YEXT,"Yext, Inc.",Technology,Application Software
YGYI,"Youngevity International, Inc.",Consumer Defensive,Consumer Packaged Goods
YHOO,YAHOO INC,Business Services,Communication Services
YITD,"Yinhang Internet Technologies Development, Inc.",,
YNDX,Yandex N.V.,Technology,Application Software
YOGAQ,"YogaWorks, Inc.",Consumer Cyclical,Personal Services
YORW,YORK WATER CO,Industrials,Waste Management
YOU,"Clear Secure, Inc.",Technology,Application Software
YUM,YUM BRANDS INC,Consumer Cyclical,Restaurants
Z,"ZILLOW GROUP, INC.",Real Estate,Real Estate Services
ZAGG,ZAGG Inc,Consumer Cyclical,Retail - Apparel & Specialty
ZAYO,"Zayo Group Holdings, Inc.",Technology,Communication Equipment
ZBH,Zimmer Biomet Holdings,Healthcare,Medical Devices
ZBRA,ZEBRA TECHNOLOGIES CORP,Industrials,Industrial Products
ZDGE,"Zedge, Inc.",Technology,Application Software
ZEN,"Zendesk, Inc.",Technology,Application Software
ZETA,Zeta Global Holdings Corp.,,
ZEUS,OLYMPIC STEEL INC,Basic Materials,Steel
ZGNX,"ZOGENIX, INC.",Healthcare,Drug Manufacturers
ZI,ZoomInfo Technologies Inc.,Technology,Application Software
ZINCQ,Horsehead Holding Corp,,
ZION,Zions Bancorp,Financial Services,Banks
ZM,"Zoom Video Communications, Inc.",Technology,Application Software
ZNGA,ZYNGA INC,Technology,Application Software
ZOM,Zomedica Corp.,Healthcare,Medical Diagnostics & Research
ZS,"Zscaler, Inc.",Technology,Application Software
ZTS,Zoetis,Healthcare,Drug Manufacturers
ZUMZ,Zumiez Inc,Consumer Cyclical,Retail - Apparel & Specialty
ZUO,ZUORA INC,Technology,Application Software
ZVO,Zovio Inc,Consumer Defensive,Education
ZY,Zymergen Inc.,Healthcare,Biotechnology
ZYNE,"Zynerba Pharmaceuticals, Inc.",Healthcare,Biotechnology
ZYXI,ZYNEX INC,Healthcare,Medical Devices
